date,geounit,ncumul_delivered,ncumul_vacc,ncumul_vacc_per100pop,ncumul_fully_vacc,ncumul_fully_vacc_per100pop
2021-02-21,CH,862675,673744,7.83,172960,2.01
2021-02-21,CHFL,866425,675556,7.81,173407,2.01
2021-02-21,FL,3750,1812,4.68,447,1.15
2021-02-21,FR,30200,25027,7.78,5723,1.78
2021-02-21,GE,46500,40060,7.95,11613,2.3
2021-02-21,GL,4955,3666,9.03,1181,2.91
2021-02-21,GR,23000,16582,8.33,4395,2.21
2021-02-21,JU,6700,6065,8.24,1791,2.43
2021-02-21,LU,38050,30305,7.34,10801,2.61
2021-02-21,NE,19050,13938,7.9,1722,0.98
2021-02-21,NW,6015,5138,11.92,2042,4.74
2021-02-21,OW,4135,3626,9.56,1440,3.8
2021-02-21,SG,51150,37230,7.29,4263,0.83
2021-02-21,SH,9450,9561,11.61,3240,3.93
2021-02-21,SO,28800,28229,10.26,10573,3.84
2021-02-21,SZ,15800,11876,7.4,3330,2.08
2021-02-21,TG,27450,21633,7.74,3805,1.36
2021-02-21,TI,42150,32775,9.32,9728,2.77
2021-02-21,UR,4925,4069,11.09,1501,4.09
2021-02-21,VD,74750,68064,8.45,15582,1.94
2021-02-21,VS,36825,28255,8.18,10165,2.94
2021-02-21,ZG,13800,13778,10.79,5895,4.62
2021-02-21,ZH,131225,102726,6.67,19526,1.27
2021-02-24,AG,73675,54741,7.98,14963,2.18
2021-02-24,AI,1875,2229,13.82,1010,6.26
2021-02-24,AR,6095,5828,10.51,2368,4.27
2021-02-24,BE,116575,81815,7.87,20438,1.97
2021-02-24,BL,37950,27568,9.52,8586,2.97
2021-02-24,BS,24250,22748,11.62,9568,4.89
2021-02-24,CH,928625,748791,8.7,220812,2.57
2021-02-24,CHFL,932375,751009,8.69,221259,2.56
2021-02-24,FL,3750,2218,5.72,447,1.15
2021-02-24,FR,33125,27692,8.61,6954,2.16
2021-02-24,GE,50400,45756,9.08,14809,2.94
2021-02-24,GL,5930,4409,10.86,1924,4.74
